dept_no	year	month	spend	transactions	items
2	2014	11	1414.48	116.0	456.0
2	2014	12	1314.84	113.0	428.0
2	2015	01	1619.74	130.0	524.0
2	2015	02	1118.18	110.0	408.0
2	2015	03	1786.58	149.0	637.0
2	2015	04	1700.42	142.0	591.0
2	2015	05	2071.38	163.0	673.0
2	2015	06	1685.52	125.0	503.0
2	2015	07	1984.92	155.0	621.0
2	2015	08	1323.74	130.0	433.0
2	2015	09	1334.56	145.0	456.0
2	2015	10	1181.37	120.0	374.0
2	2015	11	1223.58	91.0	355.0
2	2015	12	1358.67	93.0	407.0
2	2016	01	1402.56	102.0	438.0
2	2016	02	951.17	87.0	319.0
2	2016	03	1233.17	119.0	431.0
2	2016	04	1299.85	115.0	441.0
2	2016	05	1688.36	120.0	473.0
2	2016	06	1504.08	109.0	452.0
2	2016	07	1530.74	110.0	475.0
2	2016	08	1114.57	103.0	335.0
2	2016	09	1021.02	88.0	315.0
3	2010	01	694.42	78.0	176.0
3	2010	02	888.1	93.0	210.0
3	2010	03	815.72	86.0	217.0
3	2010	04	790.02	86.0	175.0
3	2010	05	773.8	90.0	179.0
3	2010	06	869.5	90.0	186.0
3	2010	07	863.82	72.0	184.0
3	2010	08	744.89	69.0	148.0
3	2010	09	855.88	78.0	174.0
3	2010	10	775.35	73.0	163.0
3	2010	11	755.28	79.0	170.0
3	2010	12	881.86	83.0	194.0
3	2011	01	854.2	82.0	195.0
3	2011	02	549.12	71.0	154.0
3	2011	03	826.99	80.0	167.0
3	2011	04	719.27	86.0	157.0
3	2011	05	859.06	85.0	166.0
3	2011	06	710.17	63.0	126.0
3	2011	07	645.86	68.0	116.0
3	2011	08	669.37	85.0	134.0
3	2011	09	724.9	79.0	152.0
3	2011	10	824.74	84.0	177.0
3	2011	11	847.92	79.0	169.0
3	2011	12	798.33	83.0	161.0
3	2012	01	877.62	97.0	207.0
3	2012	02	1028.85	98.0	223.0
3	2012	03	1109.21	116.0	241.0
3	2012	04	1226.76	119.0	255.0
3	2012	05	821.95	95.0	162.0
3	2012	06	943.97	99.0	198.0
3	2012	07	804.89	91.0	166.0
3	2012	08	738.23	83.0	159.0
3	2012	09	893.83	87.0	179.0
3	2012	10	777.06	92.0	173.0
3	2012	11	731.72	76.0	151.0
3	2012	12	847.47	92.0	192.0
3	2013	01	927.3	96.0	209.0
3	2013	02	938.29	80.0	202.0
3	2013	03	1029.09	91.0	190.0
3	2013	04	940.16	88.0	183.0
3	2013	05	876.73	80.0	161.0
3	2013	06	668.54	57.0	127.0
3	2013	07	780.77	74.0	131.0
3	2013	08	575.59	65.0	109.0
3	2013	09	899.59	68.0	156.0
3	2013	10	715.16	68.0	104.0
3	2013	11	826.99	75.0	127.0
3	2013	12	605.13	57.0	89.0
3	2014	01	738.83	62.0	109.0
3	2014	02	622.46	51.0	103.0
3	2014	03	416.37	51.0	83.0
3	2014	04	509.0	47.0	87.0
3	2014	05	498.67	36.0	68.0
3	2014	06	508.0	43.0	79.0
3	2014	07	421.67	42.0	86.0
3	2014	08	386.23	41.0	71.0
3	2014	09	489.14	53.0	104.0
3	2014	10	617.69	56.0	111.0
3	2014	11	667.68	56.0	116.0
3	2014	12	588.74	58.0	108.0
3	2015	01	607.59	65.0	110.0
3	2015	02	622.3	61.0	117.0
3	2015	03	879.4	78.0	143.0
3	2015	04	736.41	71.0	126.0
3	2015	05	905.62	80.0	160.0
3	2015	06	514.39	53.0	84.0
3	2015	07	674.6	60.0	120.0
3	2015	08	635.54	65.0	123.0
3	2015	09	547.45	51.0	95.0
3	2015	10	370.06	35.0	72.0
3	2015	11	359.59	46.0	70.0
3	2015	12	459.29	42.0	73.0
3	2016	01	462.9	41.0	82.0
3	2016	02	454.73	40.0	84.0
3	2016	03	649.88	62.0	107.0
3	2016	04	427.62	54.0	102.0
3	2016	05	495.13	47.0	68.0
3	2016	06	386.17	42.0	65.0
3	2016	07	391.82	55.0	85.0
3	2016	08	560.71	53.0	105.0
3	2016	09	516.51	52.0	87.0
4	2010	01	1281.47	145.0	460.0
4	2010	02	1161.58	132.0	387.0
4	2010	03	1220.15	160.0	416.0
4	2010	04	1248.48	143.0	416.0
4	2010	05	1092.38	142.0	368.0
4	2010	06	1141.9	149.0	370.0
4	2010	07	1160.25	130.0	362.0
4	2010	08	1144.98	142.0	354.0
4	2010	09	1164.74	141.0	374.0
4	2010	10	1050.98	127.0	309.0
4	2010	11	1118.55	126.0	309.0
4	2010	12	1012.51	129.0	305.0
4	2011	01	1155.91	147.0	375.0
4	2011	02	1018.98	116.0	317.0
4	2011	03	1280.36	148.0	411.0
4	2011	04	1135.14	133.0	378.0
4	2011	05	1089.66	129.0	364.0
4	2011	06	1101.05	135.0	339.0
4	2011	07	1098.74	132.0	344.0
4	2011	08	1249.46	145.0	355.0
4	2011	09	1189.64	149.0	382.0
4	2011	10	1226.64	140.0	347.0
4	2011	11	1245.57	150.0	388.0
4	2011	12	1404.8	157.0	384.0
4	2012	01	1370.92	156.0	401.0
4	2012	02	1457.42	153.0	412.0
4	2012	03	1482.86	172.0	441.0
4	2012	04	1418.48	190.0	453.0
4	2012	05	1197.79	158.0	371.0
4	2012	06	1452.2	170.0	459.0
4	2012	07	1281.37	154.0	382.0
4	2012	08	1359.89	179.0	436.0
4	2012	09	1552.47	178.0	504.0
4	2012	10	1265.21	149.0	381.0
4	2012	11	1219.96	144.0	387.0
4	2012	12	1241.09	145.0	347.0
4	2013	01	1341.04	153.0	397.0
4	2013	02	1249.47	144.0	371.0
4	2013	03	1256.01	151.0	367.0
4	2013	04	1410.84	174.0	441.0
4	2013	05	1116.29	135.0	312.0
4	2013	06	951.62	119.0	284.0
4	2013	07	1069.18	130.0	311.0
4	2013	08	1144.34	117.0	315.0
4	2013	09	1198.48	133.0	349.0
4	2013	10	962.63	115.0	270.0
4	2013	11	1026.75	116.0	301.0
4	2013	12	973.66	114.0	272.0
4	2014	01	1200.06	121.0	352.0
4	2014	02	965.79	97.0	267.0
4	2014	03	983.9	124.0	268.0
4	2014	04	679.49	85.0	156.0
4	2014	05	906.5	107.0	239.0
4	2014	06	800.68	107.0	210.0
4	2014	07	907.24	108.0	255.0
4	2014	08	806.58	103.0	202.0
4	2014	09	1014.79	113.0	255.0
4	2014	10	796.07	102.0	223.0
4	2014	11	1066.65	109.0	294.0
4	2014	12	902.98	103.0	234.0
4	2015	01	1011.52	117.0	280.0
4	2015	02	899.13	97.0	231.0
4	2015	03	982.03	114.0	268.0
4	2015	04	999.61	110.0	263.0
4	2015	05	928.57	116.0	260.0
4	2015	06	846.57	101.0	231.0
4	2015	07	1146.65	120.0	295.0
4	2015	08	851.26	106.0	217.0
4	2015	09	1110.96	123.0	313.0
4	2015	10	884.82	101.0	222.0
4	2015	11	693.76	86.0	183.0
4	2015	12	819.95	88.0	203.0
4	2016	01	897.81	88.0	209.0
4	2016	02	738.39	93.0	195.0
4	2016	03	1010.47	127.0	279.0
4	2016	04	808.33	121.0	214.0
4	2016	05	874.96	113.0	230.0
4	2016	06	577.0	85.0	153.0
4	2016	07	530.61	72.0	141.0
4	2016	08	691.16	95.0	175.0
4	2016	09	545.21	80.0	135.0
5	2010	01	348.76	60.0	109.0
5	2010	02	317.84	58.0	105.0
5	2010	03	350.87	55.0	114.0
5	2010	04	391.64	64.0	114.0
5	2010	05	302.61	57.0	103.0
5	2010	06	296.04	61.0	95.0
5	2010	07	339.21	64.0	102.0
5	2010	08	312.0	60.0	99.0
5	2010	09	363.47	66.0	114.0
5	2010	10	303.06	63.0	106.0
5	2010	11	239.17	46.0	79.0
5	2010	12	280.88	45.0	79.0
5	2011	01	399.96	60.0	125.0
5	2011	02	279.14	59.0	99.0
5	2011	03	346.56	69.0	109.0
5	2011	04	370.15	58.0	103.0
5	2011	05	372.41	73.0	106.0
5	2011	06	311.83	54.0	87.0
5	2011	07	299.3	52.0	81.0
5	2011	08	427.07	74.0	111.0
5	2011	09	447.47	67.0	125.0
5	2011	10	450.85	72.0	123.0
5	2011	11	349.47	60.0	108.0
5	2011	12	463.45	81.0	149.0
5	2012	01	427.08	74.0	122.0
5	2012	02	415.2	73.0	122.0
5	2012	03	380.85	65.0	110.0
5	2012	04	380.74	72.0	108.0
5	2012	05	404.59	75.0	107.0
5	2012	06	423.09	76.0	129.0
5	2012	07	403.16	81.0	130.0
5	2012	08	326.43	73.0	114.0
5	2012	09	333.15	71.0	108.0
5	2012	10	319.53	71.0	109.0
5	2012	11	299.1	62.0	92.0
5	2012	12	383.77	58.0	112.0
5	2013	01	417.57	63.0	114.0
5	2013	02	371.22	56.0	111.0
5	2013	03	340.52	62.0	101.0
5	2013	04	354.02	71.0	103.0
5	2013	05	386.24	64.0	116.0
5	2013	06	371.6	53.0	99.0
5	2013	07	323.68	64.0	99.0
5	2013	08	385.7	68.0	105.0
5	2013	09	365.53	63.0	107.0
5	2013	10	355.29	53.0	98.0
5	2013	11	387.98	51.0	103.0
5	2013	12	481.38	52.0	122.0
5	2014	01	272.35	41.0	69.0
5	2014	02	318.63	44.0	79.0
5	2014	03	303.32	53.0	83.0
5	2014	04	217.37	36.0	61.0
5	2014	05	303.11	53.0	80.0
5	2014	06	285.92	48.0	80.0
5	2014	07	256.64	45.0	71.0
5	2014	08	202.99	41.0	59.0
5	2014	09	269.92	48.0	73.0
5	2014	10	250.59	50.0	71.0
5	2014	11	326.84	54.0	96.0
5	2014	12	412.78	51.0	101.0
5	2015	01	228.89	46.0	66.0
5	2015	02	250.23	47.0	68.0
5	2015	03	284.44	47.0	79.0
5	2015	04	295.83	43.0	70.0
5	2015	05	447.69	67.0	111.0
5	2015	06	404.7	49.0	96.0
5	2015	07	426.73	58.0	122.0
5	2015	08	387.75	57.0	103.0
5	2015	09	343.11	52.0	87.0
5	2015	10	229.61	43.0	60.0
5	2015	11	262.52	41.0	70.0
5	2015	12	253.03	41.0	70.0
5	2016	01	235.83	35.0	64.0
5	2016	02	261.51	47.0	71.0
5	2016	03	322.67	53.0	89.0
5	2016	04	297.71	47.0	84.0
5	2016	05	340.02	46.0	97.0
5	2016	06	255.09	38.0	66.0
5	2016	07	225.28	32.0	64.0
5	2016	08	284.94	37.0	70.0
5	2016	09	177.37	24.0	50.0
6	2010	01	429.45	51.0	115.0
6	2010	02	418.4	54.0	99.0
6	2010	03	443.56	54.0	116.0
6	2010	04	549.27	63.0	128.0
6	2010	05	521.84	68.0	126.0
6	2010	06	600.86	62.0	133.0
6	2010	07	506.01	45.0	119.0
6	2010	08	342.73	49.0	95.0
6	2010	09	449.58	52.0	110.0
6	2010	10	330.15	46.0	85.0
6	2010	11	444.11	57.0	124.0
6	2010	12	290.09	36.0	80.0
6	2011	01	433.6	48.0	105.0
6	2011	02	357.71	41.0	89.0
6	2011	03	382.82	45.0	98.0
6	2011	04	454.27	51.0	123.0
6	2011	05	455.25	50.0	116.0
6	2011	06	347.57	40.0	80.0
6	2011	07	312.83	51.0	84.0
6	2011	08	343.92	54.0	99.0
6	2011	09	338.76	43.0	78.0
6	2011	10	521.96	60.0	128.0
6	2011	11	596.69	60.0	152.0
6	2011	12	599.77	65.0	148.0
6	2012	01	513.76	60.0	133.0
6	2012	02	422.03	54.0	96.0
6	2012	03	572.95	57.0	135.0
6	2012	04	776.99	87.0	193.0
6	2012	05	500.01	59.0	129.0
6	2012	06	348.24	50.0	93.0
6	2012	07	486.5	73.0	117.0
6	2012	08	503.43	67.0	117.0
6	2012	09	555.21	66.0	129.0
6	2012	10	366.09	52.0	91.0
6	2012	11	412.12	51.0	108.0
6	2012	12	438.85	40.0	100.0
6	2013	01	485.89	57.0	119.0
6	2013	02	380.52	42.0	88.0
6	2013	03	345.11	39.0	85.0
6	2013	04	378.47	48.0	83.0
6	2013	05	369.38	45.0	81.0
6	2013	06	214.44	32.0	47.0
6	2013	07	297.59	33.0	74.0
6	2013	08	256.43	37.0	65.0
6	2013	09	310.94	41.0	68.0
6	2013	10	329.19	41.0	84.0
6	2013	11	255.26	38.0	57.0
6	2013	12	250.71	29.0	63.0
6	2014	01	262.79	26.0	66.0
6	2014	02	234.71	27.0	59.0
6	2014	03	320.33	43.0	74.0
6	2014	04	208.6	27.0	49.0
6	2014	05	362.68	38.0	88.0
6	2014	06	258.83	30.0	54.0
6	2014	07	291.03	27.0	57.0
6	2014	08	211.81	28.0	56.0
6	2014	09	305.78	35.0	71.0
6	2014	10	285.57	32.0	57.0
6	2014	11	323.6	24.0	73.0
6	2014	12	262.02	31.0	57.0
6	2015	01	305.66	33.0	81.0
6	2015	02	259.66	29.0	68.0
6	2015	03	401.58	35.0	98.0
6	2015	04	220.44	26.0	46.0
6	2015	05	260.29	39.0	55.0
6	2015	06	218.55	29.0	47.0
6	2015	07	313.16	36.0	76.0
6	2015	08	310.38	35.0	66.0
6	2015	09	242.58	29.0	51.0
6	2015	10	288.77	32.0	57.0
6	2015	11	294.04	32.0	62.0
6	2015	12	180.3	22.0	40.0
6	2016	01	302.98	29.0	67.0
6	2016	02	158.14	17.0	40.0
6	2016	03	248.73	32.0	61.0
6	2016	04	181.47	28.0	43.0
6	2016	05	241.66	37.0	55.0
6	2016	06	170.38	24.0	40.0
6	2016	07	131.43	21.0	30.0
6	2016	08	198.66	26.0	52.0
6	2016	09	280.17	36.0	66.0
7	2010	01	140.62	32.0	44.0
7	2010	02	125.42	23.0	43.0
7	2010	03	139.37	30.0	50.0
7	2010	04	165.87	30.0	61.0
7	2010	05	167.99	37.0	60.0
7	2010	06	114.54	26.0	38.0
7	2010	07	117.36	23.0	44.0
7	2010	08	118.89	27.0	49.0
7	2010	09	150.08	32.0	47.0
7	2010	10	148.26	32.0	52.0
7	2010	11	145.57	30.0	52.0
7	2010	12	136.96	31.0	53.0
7	2011	01	152.48	33.0	52.0
7	2011	02	101.78	23.0	32.0
7	2011	03	143.28	30.0	45.0
7	2011	04	168.09	30.0	43.0
7	2011	05	156.06	29.0	49.0
7	2011	06	149.86	34.0	55.0
7	2011	07	115.52	23.0	37.0
7	2011	08	137.57	30.0	45.0
7	2011	09	158.27	38.0	56.0
