student	state	district_num	formatted_dist_num	abbrev	district	candidate	party	website	twitter handle	incumbent	age	gender	marital_status	white_non_hispanic	hispanic	black	partisian_lean_pvi	opposed	pct_urban	income	region
patrick	Arizona	7	07	AZ	AZ07	Ruben Gallego 	Democratic	https://gallegoforarizona.com	RubenGallego	Yes	38	M	Single	F	T	F	D+23	No	83.6	30,828	W
patrick	Arkansas	4	04	AR	AR04	Tom Canada 	Libertarian	http://tomcanadaforcongress.org/about.html	NA	No	NA	M	Married	T	F	F	R+17	Yes	66.2	29,675	S
patrick	Arkansas	4	04	AR	AR04	Jack Foster 	Independent	NA	NA	No	NA	M	NA	F	F	T	R+17	Yes	66.2	29,675	S
patrick	Arkansas	4	04	AR	AR04	Lee McQueen 	Independent	https://mcqueen2018.com	McQueen4USRep	No	NA	F	Single	F	F	T	R+17	Yes	66.2	29,675	S
patrick	Arkansas	4	04	AR	AR04	Hayden Shamel 	Democratic	https://www.haydenforcongress.com	HaydenShamel	No	NA	F	Married	T	F	F	R+17	Yes	66.2	29,675	S
patrick	Arkansas	4	04	AR	AR04	Bruce Westerman 	Republican	https://www.brucewesterman.com	WestermanAR	Yes	50	M	Married	T	F	F	R+17	Yes	66.2	29,675	S
patrick	California	3	03	CA	CA03	John Garamendi 	Democratic	http://www.garamendi.org	JohnGaramendi	Yes	73	M	Married	T	F	F	D+5	Yes	3.2	53602	W
patrick	California	3	03	CA	CA03	Charlie Schaupp 	Republican	https://www.facebook.com/charlieschaupp/	CharlieSchaupp	No	63	M	Married	T	F	F	D+5	Yes	3.2	53602	W
patrick	California	8	08	CA	CA08	Paul Cook 	Republican	https://www.joinpaulcook.com	joinpaulcook	Yes	75	M	Married	T	F	F	R+9	Yes	0.9	45879	W
patrick	California	8	08	CA	CA08	Tim Donnelly 	Republican	https://www.donnelly4congress.com	PatriotNotPol	No	52	M	Married	T	F	F	R+9	Yes	0.9	45879	W
patrick	California	17	17	CA	CA17	Ron Cohen 	Republican	https://www.roncohen4congress2018.com	RonCohenUS17	No	59	M	Married	T	F	F	D+25	Yes	67.6	92030	W
patrick	California	17	17	CA	CA17	Ro Khanna 	Democratic	http://www.rokhanna.com	RoKhanna	Yes	42	M	Married	F	F	F	D+25	Yes	67.6	92030	W
patrick	California	21	21	CA	CA21	T.J. Cox 	Democratic	https://tjcoxforcongress.com	TJCoxCongress	No	NA	M	Married	T	F	F	D+5	Yes	2.3	37228	W
patrick	California	21	21	CA	CA21	David Valadao 	Republican	https://www.valadaoforcongress.com	dgvaladao	Yes	41	M	Married	F	T	F	D+5	Yes	2.3	37228	W
patrick	California	23	23	CA	CA23	Tatiana Matta 	Democratic	http://tatianamatta.com	Matta4Congress	No	NA	F	Married	F	T	F	R+14	Yes	2	51232	W
patrick	California	23	23	CA	CA23	Kevin McCarthy 	Republican	https://kevinmccarthy.house.gov	GOPLeader	Yes	53	M	Married	T	F	F	R+14	Yes	2	51232	W
patrick	California	24	24	CA	CA24	Salud Carbajal 	Democratic	https://www.saludcarbajal.com	carbajalsalud	Yes	53	M	Married	F	T	F	D+7	Yes	3	56943	W
patrick	California	24	24	CA	CA24	Justin Fareed 	Republican	https://www.justinfareed.com	JustinFareed	No	30	M	Single	T	F	F	D+7	Yes	3	56943	W
patrick	California	49	49	CA	CA49	Diane Harkey 	Republican	https://www.harkeyforcongress.com	diane_harkey	No	67	F	Married	T	F	F	R+1	Yes	42.2	67,018	W
patrick	California	49	49	CA	CA49	Mike Levin 	Democratic	https://mikelevin.org	MikeLevinCA	No	39	M	Married	T	F	F	R+1	Yes	42.2	67,018	W
patrick	Delaware	at-large	00	DE	DE00	Lisa Blunt Rochester	Democratic	https://lisabluntrochester.com	LisaBRochester	Yes	56	F	Single	F	F	T	D+6	Yes	83.3	57,357	S
patrick	Delaware	at-large	00	DE	DE00	Christopher Mockerman 	Independent	https://www.facebook.com/CWMockerman4House/	NA	No	NA	M	NA	T	F	F	D+6	Yes	83.3	57,357	S
patrick	Delaware	at-large	00	DE	DE00	Scott Walker 	Republican	NA	NA	No	NA	M	NA	T	F	F	D+6	Yes	83.3	57,357	S
patrick	Florida	7	07	FL	FL07	Mike Miller 	Republican	https://www.millerforflorida.com	Mike_Miller_FL	No	50	M	Married	T	F	F	EVEN	Yes	97.87	51007	S
patrick	Florida	7	07	FL	FL07	Stephanie Murphy 	Democratic	http://www.stephaniemurphyforcongress.com	SMurphyCongress	Yes	40	F	Married	F	F	F	EVEN	Yes	97.87	51007	S
patrick	Florida	15	15	FL	FL15	Kristen Carlson 	Democratic	https://www.kristencarlsonforcongress.com	KristenForFL	No	NA	F	Single	T	F	F	R+6	Yes	92.06	47117	S
patrick	Florida	15	15	FL	FL15	Ross Spano 	Republican	http://www.rossspano.com	RossSpano	No	52	M	Married	T	F	F	R+6	Yes	92.06	47117	S
